OID_,CID,L5_20001227_NIR,L5_20010128_NIR,L5_20010418_NIR,L5_20021201_NIR,L5_20030219_NIR,L5_20031220_NIR,L5_20040410_NIR,L5_20041222_NIR,L5_20050312_NIR,L5_20051123_NIR,L5_20060227_NIR,L5_20070129_NIR,L5_20080421_NIR,L5_20081030_NIR,L5_20090118_NIR,L5_20090307_NIR,L5_20101207_NIR,L5_20101223_NIR,L5_20110108_NIR,L5_20110313_NIR,L5_20110430_NIR
173,1,0.208210000000000,0.191215000000000,0.270140000000000,0.220502500000000,0.207522500000000,0.211730000000000,0.270140000000000,0.233510000000000,0.211867500000000,0.221767500000000,0.204387500000000,0.216267500000000,0.283340000000000,0.230842500000000,0.194762500000000,0.199245000000000,0.187805000000000,0.191875000000000,0.177355000000000,0.203095000000000,0.286695000000000
174,1,0.190005000000000,0.185495000000000,0.212610000000000,0.189262500000000,0.169407500000000,0.200867500000000,0.231585000000000,0.210465000000000,0.196522500000000,0.196852500000000,0.187915000000000,0.155740000000000,0.210657500000000,0.200042500000000,0.210767500000000,0.212307500000000,0.207687500000000,0.213710000000000,0.208567500000000,0.206697500000000,0.220722500000000
175,1,0.177850000000000,0.175127500000000,0.225645000000000,0.179032500000000,0.169600000000000,0.174247500000000,0.193387500000000,0.177245000000000,0.165942500000000,0.187667500000000,0.163632500000000,0.165172500000000,0.217147500000000,0.208980000000000,0.178895000000000,0.179362500000000,0.177795000000000,0.175210000000000,0.182470000000000,0.184037500000000,0.266262500000000
176,1,0.237497500000000,0.223527500000000,0.212005000000000,0.215332500000000,0.217065000000000,0.206285000000000,0.216350000000000,0.261477500000000,0.230897500000000,0.177822500000000,0.167785000000000,0.193112500000000,0.244867500000000,0.234995000000000,0.227185000000000,0.232547500000000,0.222730000000000,0.235325000000000,0.235325000000000,0.225947500000000,0.224077500000000
177,1,0.194405000000000,0.190500000000000,0.252072500000000,0.188987500000000,0.154942500000000,0.109897500000000,0.211785000000000,0.120732500000000,0.123620000000000,0.114050000000000,0.122602500000000,0.132365000000000,0.233730000000000,0.165420000000000,0.135720000000000,0.154722500000000,0.142567500000000,0.141467500000000,0.134647500000000,0.160855000000000,0.275310000000000
178,1,0.237910000000000,0.228532500000000,0.228725000000000,0.220475000000000,0.216680000000000,0.216955000000000,0.235682500000000,0.233317500000000,0.211840000000000,0.221822500000000,0.216377500000000,0.207000000000000,0.230347500000000,0.217670000000000,0.227020000000000,0.224352500000000,0.212802500000000,0.224545000000000,0.214040000000000,0.214920000000000,0.275695000000000
179,1,0.214480000000000,0.185605000000000,0.272587500000000,0.179087500000000,0.164705000000000,0.158325000000000,0.238845000000000,0.160277500000000,0.173560000000000,0.187502500000000,0.175980000000000,0.160745000000000,0.261532500000000,0.187365000000000,0.168390000000000,0.192260000000000,0.157912500000000,0.175897500000000,0.161405000000000,0.195560000000000,0.285897500000000
180,1,0.202435000000000,0.206972500000000,0.282762500000000,0.194625000000000,0.178950000000000,0.168995000000000,0.212582500000000,0.188272500000000,0.173587500000000,0.192370000000000,0.171772500000000,0.174715000000000,0.258205000000000,0.204497500000000,0.184505000000000,0.208622500000000,0.162862500000000,0.175842500000000,0.171937500000000,0.187942500000000,0.272917500000000
181,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
182,1,0.195835000000000,0.185330000000000,0.218770000000000,0.173835000000000,0.174385000000000,0.190335000000000,0.205157500000000,0.199465000000000,0.181177500000000,0.192452500000000,0.179912500000000,0.188767500000000,0.213847500000000,0.208760000000000,0.205405000000000,0.204030000000000,0.212747500000000,0.230980000000000,0.219210000000000,0.210492500000000,0.236975000000000
