OID_,CID,L7_20140124_R,L7_20140209_R,L7_20140313_R,L7_20141023_R,L7_20141210_R,L7_20150127_R,L7_20150212_R,L7_20170116_R,L7_20170201_R,L7_20170508_R,L7_20171202_R,L7_20180308_R,L7_20181205_R,L7_20200125_R,L7_20201124_R,L7_20201210_R,L7_20211127_R,L7_20211229_R,L7_20220114_R,L7_20220404_R,L7_20221024_R,L7_20221202_R,L7_20221214_R,L7_20221219_R,L7_20230319_R,L7_20230324_R,L7_20230916_R,L7_20230921_R
29,1,0.030230000000000,0.029900000000000,0.032402500000000,nan,0.031605000000000,0.037050000000000,0.037792500000000,0.041752500000000,0.036445000000000,0.033530000000000,0.033337500000000,0.030587500000000,0.030285000000000,nan,0.020577500000000,0.031467500000000,0.047445000000000,0.039690000000000,0.046592500000000,0.032870000000000,0.034657500000000,nan,0.060425000000000,0.041230000000000,0.040900000000000,nan,0.017800000000000,0.023217500000000
30,1,0.032540000000000,0.034547500000000,0.041367500000000,0.033832500000000,0.031550000000000,0.032127500000000,0.040157500000000,0.076237500000000,0.075660000000000,0.093342500000000,0.051240000000000,0.058720000000000,0.030285000000000,0.056850000000000,0.041972500000000,0.052505000000000,0.047527500000000,0.042660000000000,0.050140000000000,nan,0.045740000000000,nan,0.055337500000000,nan,0.044007500000000,nan,0.034520000000000,0.032815000000000
31,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32,1,0.025087500000000,0.027975000000000,0.025967500000000,0.030092500000000,0.034437500000000,0.026737500000000,0.030120000000000,0.037380000000000,0.024070000000000,0.034657500000000,0.025390000000000,0.024565000000000,0.035400000000000,0.025335000000000,0.020687500000000,0.020027500000000,0.026710000000000,0.023355000000000,0.032375000000000,0.030202500000000,0.023712500000000,nan,0.025115000000000,nan,0.029845000000000,nan,0.018515000000000,0.027920000000000
33,1,0.034987500000000,0.036885000000000,0.037957500000000,0.029707500000000,0.032292500000000,0.030147500000000,nan,0.035950000000000,0.029377500000000,0.053825000000000,0.031192500000000,0.038975000000000,0.027590000000000,0.026050000000000,0.020742500000000,0.028937500000000,0.103242500000000,nan,0.103325000000000,0.076237500000000,0.095625000000000,nan,0.101702500000000,0.085285000000000,0.084102500000000,nan,0.053770000000000,0.047967500000000
34,1,0.035455000000000,0.041230000000000,0.047225000000000,0.029927500000000,0.028992500000000,0.034657500000000,0.040515000000000,0.038315000000000,0.080637500000000,0.078245000000000,0.048875000000000,0.080417500000000,0.030285000000000,0.062267500000000,0.066392500000000,0.071590000000000,0.044475000000000,0.035647500000000,0.043072500000000,nan,0.037187500000000,nan,0.040212500000000,nan,0.038122500000000,nan,0.021127500000000,0.013565000000000
35,1,nan,0.031495000000000,0.033612500000000,0.025665000000000,nan,0.027095000000000,0.030615000000000,0.035675000000000,0.029185000000000,0.036720000000000,0.028717500000000,0.036280000000000,0.022695000000000,0.031082500000000,0.023410000000000,nan,nan,0.023740000000000,0.032430000000000,nan,0.023135000000000,nan,0.030285000000000,nan,0.026545000000000,nan,nan,0.023272500000000
36,1,0.017360000000000,0.015105000000000,0.018762500000000,nan,0.018900000000000,0.017112500000000,0.020852500000000,0.029515000000000,0.019532500000000,0.029322500000000,0.020605000000000,0.022750000000000,0.010045000000000,nan,0.020385000000000,0.019450000000000,0.025060000000000,0.013950000000000,0.021650000000000,0.019340000000000,0.017387500000000,nan,0.025005000000000,nan,0.024400000000000,nan,0.014335000000000,0.018377500000000
37,1,0.019505000000000,0.022502500000000,0.021897500000000,0.019395000000000,0.022887500000000,nan,0.027452500000000,nan,nan,0.030312500000000,0.020192500000000,0.027617500000000,0.015132500000000,0.019312500000000,0.020110000000000,0.019367500000000,0.026215000000000,0.031027500000000,0.025280000000000,0.025830000000000,0.017992500000000,nan,0.030147500000000,0.023465000000000,0.018515000000000,nan,0.011062500000000,0.013675000000000
38,1,nan,0.029927500000000,0.037160000000000,0.017030000000000,nan,0.029817500000000,0.041972500000000,0.039745000000000,0.031687500000000,0.024097500000000,0.028717500000000,0.037600000000000,0.029927500000000,0.028470000000000,0.020605000000000,nan,nan,0.031000000000000,0.025280000000000,nan,0.019835000000000,nan,nan,nan,0.011200000000000,nan,nan,0.019175000000000
39,1,0.057922500000000,0.054842500000000,0.058307500000000,0.039965000000000,0.047802500000000,0.051487500000000,0.061332500000000,0.036912500000000,0.043485000000000,0.063505000000000,0.033860000000000,0.048435000000000,0.025115000000000,0.023437500000000,0.026050000000000,0.027342500000000,0.034767500000000,0.029817500000000,0.028745000000000,nan,0.023575000000000,nan,0.029955000000000,nan,0.023355000000000,nan,0.017827500000000,0.013510000000000
40,1,nan,nan,0.039360000000000,0.019752500000000,nan,0.036857500000000,0.032980000000000,0.052642500000000,0.045190000000000,nan,nan,0.049700000000000,nan,0.038122500000000,0.028635000000000,nan,nan,0.031165000000000,nan,nan,0.020990000000000,nan,0.035097500000000,nan,0.029900000000000,nan,nan,0.023162500000000
41,1,nan,nan,0.043485000000000,0.029790000000000,nan,0.034685000000000,0.037875000000000,0.055172500000000,0.036390000000000,nan,0.033887500000000,0.046345000000000,nan,0.096037500000000,0.122327500000000,nan,nan,0.071480000000000,nan,0.067520000000000,0.053687500000000,nan,nan,nan,0.061002500000000,nan,nan,0.038672500000000
