OID_,CID,L8_20140116_R,L8_20140217_R,L8_20140321_R,L8_20141015_R,L8_20141202_R,L8_20150119_R,L8_20150220_R,L8_20170108_R,L8_20170124_R,L8_20170516_R,L8_20171210_R,L8_20180316_R,L8_20181127_R,L8_20200117_R,L8_20200202_R,L8_20201116_R,L8_20201218_R,L8_20211119_R,L8_20211205_R,L8_20220106_R,L8_20220327_R,L8_20220412_R,L8_20221021_R,L8_20221208_R,L8_20221224_R,L8_20230314_R,L8_20230330_R,L8_20230922_R
484,1,0.019532500000000,0.023822500000000,0.033145000000000,0.016480000000000,0.017965000000000,0.018020000000000,0.022612500000000,0.021265000000000,0.023822500000000,0.046290000000000,0.022722500000000,0.041120000000000,0.020522500000000,0.024070000000000,0.023960000000000,0.021155000000000,0.021457500000000,0.023602500000000,0.023795000000000,0.022640000000000,0.038012500000000,0.039387500000000,0.024427500000000,0.022007500000000,0.020962500000000,0.028305000000000,0.033695000000000,0.026627500000000
485,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
486,1,0.029625000000000,0.031467500000000,0.043650000000000,0.025940000000000,0.031357500000000,0.030917500000000,0.035840000000000,0.030092500000000,0.032347500000000,0.034960000000000,0.024290000000000,0.032815000000000,0.024620000000000,0.031825000000000,0.030065000000000,0.024757500000000,0.026380000000000,0.024345000000000,0.027452500000000,0.025032500000000,0.027397500000000,0.025637500000000,0.025032500000000,0.027452500000000,0.028360000000000,0.030120000000000,0.034162500000000,0.019917500000000
487,1,0.032457500000000,0.044447500000000,0.046592500000000,0.028085000000000,0.031330000000000,0.035867500000000,0.043210000000000,0.030257500000000,0.033887500000000,0.051735000000000,0.026682500000000,0.042110000000000,0.024180000000000,0.030285000000000,0.030560000000000,0.024702500000000,0.024482500000000,0.027260000000000,0.026957500000000,0.026215000000000,0.034877500000000,0.034135000000000,0.028690000000000,0.025665000000000,0.025610000000000,0.031412500000000,0.034740000000000,0.024840000000000
488,1,0.023382500000000,0.028470000000000,0.041010000000000,0.021182500000000,0.026105000000000,0.025802500000000,0.032265000000000,0.024620000000000,0.028442500000000,0.039937500000000,0.020000000000000,0.038452500000000,0.019312500000000,0.025060000000000,0.027205000000000,0.020330000000000,0.020632500000000,0.021100000000000,0.021292500000000,0.019972500000000,0.028497500000000,0.025995000000000,0.050387500000000,0.047582500000000,0.056437500000000,0.047775000000000,0.063532500000000,0.031110000000000
489,1,0.031220000000000,0.039140000000000,0.046290000000000,0.032842500000000,0.034932500000000,0.034382500000000,0.043045000000000,0.033145000000000,0.034795000000000,0.058912500000000,0.030120000000000,0.045932500000000,0.025197500000000,0.136105000000000,0.128515000000000,0.135115000000000,0.116195000000000,0.097770000000000,0.106762500000000,0.104617500000000,0.079290000000000,0.108247500000000,0.075990000000000,0.068070000000000,0.069087500000000,0.077530000000000,0.090565000000000,0.059847500000000
490,1,0.024262500000000,0.029047500000000,0.033282500000000,0.019395000000000,0.028552500000000,0.031220000000000,0.032430000000000,0.027782500000000,0.028772500000000,0.035455000000000,0.028525000000000,0.026902500000000,0.025940000000000,0.022392500000000,0.026242500000000,0.022090000000000,0.024565000000000,0.025362500000000,0.019285000000000,0.017387500000000,0.027040000000000,0.022777500000000,0.019175000000000,0.017442500000000,0.016205000000000,0.024730000000000,0.022255000000000,0.024675000000000
491,1,0.040295000000000,0.052230000000000,0.048710000000000,0.038315000000000,0.045822500000000,0.038810000000000,0.054842500000000,0.032100000000000,0.035455000000000,0.077447500000000,0.028415000000000,0.043402500000000,0.028250000000000,0.045712500000000,0.038095000000000,0.023630000000000,0.025857500000000,0.031522500000000,0.031055000000000,0.023410000000000,0.036995000000000,0.039635000000000,0.046235000000000,0.040295000000000,0.039167500000000,0.049892500000000,0.052917500000000,0.044420000000000
492,1,0.021622500000000,0.028057500000000,0.033420000000000,0.016342500000000,0.020687500000000,0.020852500000000,0.026325000000000,0.018790000000000,0.020605000000000,0.028827500000000,0.020330000000000,0.026380000000000,0.016590000000000,0.021375000000000,0.020577500000000,0.015737500000000,0.016150000000000,0.019202500000000,0.019835000000000,0.018460000000000,0.024097500000000,0.023080000000000,0.018707500000000,0.018405000000000,0.017910000000000,0.021677500000000,0.021897500000000,0.019230000000000
493,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
